AccountAgeDays,TotalOrders,OrdersLast24h,OrdersLast7d,CancelledOrders,CancelRate,CurrentOrderValue,AvgOrderValue,IsCod,CodOrderCount,PhoneUsedCount,AddressUsedCount,ItemCount,TotalQuantity,StatusChangeCount,CancelledOrdersLast24h,CancelRateLast24h,CancelledOrdersLast7d,CancelRateLast7d,IsVip,CompletedOrderCount,CompletionRate,IsRisk
11,17,0,7,2,0.118,480000,290000,1,12,1,1,3,3,1,0,0.0,2,0.286,1,15,0.882,False
24,2,1,2,0,0.0,440000,550000,1,2,3,1,1,2,0,0,0.0,0,0.0,0,2,1.0,True
21,5,0,2,1,0.2,680000,320000,0,0,1,2,2,7,2,0,0.0,1,0.5,0,4,0.8,True
15,23,1,5,1,0.043,420000,420000,1,22,1,1,2,9,2,0,0.0,1,0.2,1,22,0.957,False
10,19,0,5,1,0.053,650000,280000,1,13,1,1,2,2,0,0,0.0,0,0.0,1,18,0.947,False
390,18,0,2,0,0.0,180000,290000,1,12,1,1,4,5,1,0,0.0,0,0.0,1,18,1.0,False
9,15,0,7,1,0.067,770000,260000,1,13,1,1,5,12,1,0,0.0,1,0.143,1,14,0.933,False
16,5,0,1,1,0.2,1160000,340000,1,5,1,3,4,8,2,0,0.0,1,1.0,0,4,0.8,True
148,6,0,1,0,0.0,200000,410000,0,0,1,1,2,3,2,0,0.0,0,0.0,0,6,1.0,False
42,14,1,12,1,0.071,1450000,430000,1,8,1,1,4,4,1,0,0.0,0,0.0,0,13,0.929,False
1,1,1,1,0,0.0,3060000,3060000,1,1,1,1,6,19,1,0,0.0,0,0.0,1,1,1.0,True
415,36,0,2,3,0.083,840000,540000,0,0,1,1,5,5,1,0,0.0,0,0.0,1,33,0.917,False
231,11,0,3,1,0.091,830000,480000,1,5,1,1,4,8,0,0,0.0,0,0.0,0,10,0.909,False
277,26,0,4,0,0.0,380000,390000,1,3,1,1,1,1,1,0,0.0,0,0.0,0,26,1.0,False
230,5,0,0,0,0.0,550000,230000,1,2,1,1,3,5,1,0,0.0,0,0.0,1,5,1.0,False
34,11,0,4,4,0.364,1080000,410000,1,3,1,1,2,6,1,0,0.0,1,0.25,0,7,0.636,True
439,34,0,2,5,0.147,220000,230000,0,3,1,1,5,6,2,0,0.0,0,0.0,0,29,0.853,False
44,24,1,5,5,0.208,1060000,410000,1,14,1,1,3,5,1,0,0.0,0,0.0,1,19,0.792,False
79,6,0,1,0,0.0,1070000,250000,1,0,1,1,5,18,2,0,0.0,0,0.0,0,6,1.0,True
10,25,0,9,1,0.04,590000,490000,1,15,1,1,5,7,0,0,0.0,1,0.111,1,24,0.96,False
47,14,1,3,3,0.214,940000,260000,1,6,1,1,5,12,6,0,0.0,2,0.667,0,11,0.786,True
24,21,0,6,2,0.095,920000,340000,1,14,1,1,4,4,1,0,0.0,1,0.167,1,19,0.905,False
61,7,0,3,0,0.0,890000,340000,1,1,1,1,2,4,2,0,0.0,0,0.0,0,7,1.0,False
7,17,1,4,1,0.059,1200000,280000,1,17,1,1,3,4,2,0,0.0,1,0.25,1,16,0.941,False
29,14,0,7,2,0.143,770000,300000,1,14,1,1,5,9,1,0,0.0,2,0.286,1,12,0.857,False
5,4,2,2,0,0.0,1270000,340000,1,3,1,1,7,9,2,0,0.0,0,0.0,0,4,1.0,True
171,18,0,1,0,0.0,600000,490000,1,4,1,1,5,5,2,0,0.0,0,0.0,0,18,1.0,False
17,18,0,4,0,0.0,380000,380000,1,18,1,1,2,4,0,0,0.0,0,0.0,0,18,1.0,False
381,38,0,1,0,0.0,430000,570000,1,32,1,1,3,4,2,0,0.0,0,0.0,1,38,1.0,False
33,4,0,0,0,0.0,340000,170000,1,0,1,1,1,1,2,0,0.0,0,0.0,1,4,1.0,False
10,5,3,4,2,0.4,1270000,530000,1,5,1,1,5,9,3,1,0.333,1,0.25,1,3,0.6,True
35,15,0,3,5,0.333,460000,450000,1,11,1,1,5,8,1,0,0.0,1,0.333,0,10,0.667,True
27,15,1,10,2,0.133,1290000,510000,1,10,1,1,4,7,0,0,0.0,2,0.2,1,13,0.867,False
59,14,0,4,6,0.429,1100000,420000,1,5,1,1,3,9,3,0,0.0,1,0.25,1,8,0.571,True
243,39,0,2,0,0.0,880000,500000,1,6,1,1,4,6,1,0,0.0,0,0.0,0,39,1.0,False
1,7,4,6,2,0.286,1440000,420000,1,5,1,1,4,6,3,0,0.0,0,0.0,1,5,0.714,True
481,24,1,2,0,0.0,240000,400000,0,4,1,1,5,6,2,0,0.0,0,0.0,1,24,1.0,False
183,11,0,0,0,0.0,570000,550000,1,4,1,1,1,2,2,0,0.0,0,0.0,1,11,1.0,False
6,3,1,1,0,0.0,960000,390000,0,0,1,1,3,7,0,0,0.0,0,0.0,1,3,1.0,True
177,27,1,1,0,0.0,660000,480000,0,3,1,1,1,2,0,0,0.0,0,0.0,1,27,1.0,False
18,20,0,5,2,0.1,690000,510000,1,15,1,1,2,4,1,0,0.0,0,0.0,1,18,0.9,False
8,19,1,8,4,0.211,900000,540000,1,15,1,1,3,3,0,0,0.0,2,0.25,1,15,0.789,False
51,10,1,6,4,0.4,660000,390000,1,6,1,1,3,4,3,0,0.0,2,0.333,0,6,0.6,True
37,15,1,5,2,0.133,990000,420000,1,10,1,1,3,6,1,0,0.0,1,0.2,0,13,0.867,False
